SID,entry,timepoint,evaluation,replacement
60da4f9aa1ced7efeecca18a,polo,0.0,FOUND,polo
60da4f9aa1ced7efeecca18a,rowing,0.0,FOUND,rowing
60da4f9aa1ced7efeecca18a,fencing,0.0,FOUND,fencing
60da4f9aa1ced7efeecca18a,stickball,13.7,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,soccer,0.0,FOUND,soccer
5e8a76b3939b3072dc76fb5c,basketball,0.0,FOUND,basketball
5e8a76b3939b3072dc76fb5c,baseball,0.0,FOUND,baseball
5e8a76b3939b3072dc76fb5c,cricket,0.0,FOUND,cricket
5e8a76b3939b3072dc76fb5c,boxing,1.7,FOUND,boxing
5e8a76b3939b3072dc76fb5c,UFC,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,MMA,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,tennis,1.0,FOUND,tennis
5e8a76b3939b3072dc76fb5c,foolsports,1.8,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,Esports,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,football,11.0,FOUND,football
5e8a76b3939b3072dc76fb5c,wrestling,0.0,FOUND,wrestling
5e8a76b3939b3072dc76fb5c,chess,3.7,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,powerlifting,10.9,FOUND,powerlifting
5e8a76b3939b3072dc76fb5c,weightlifting,1.3,FOUND,weightlifting
5e8a76b3939b3072dc76fb5c,mr. Olympia,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,the Olympics,0.0,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,sliving,3.59999999999999,REPLACE,skiing
5e8a76b3939b3072dc76fb5c,running,6.2,REPLACE,rowing
5e8a76b3939b3072dc76fb5c,track and field,1.6,FOUND,track and field
5e8a76b3939b3072dc76fb5c,relay race,4.7,EXCLUDE,EXCLUDE
5e8a76b3939b3072dc76fb5c,pole vaulting,1.3,REPLACE,pole vault
5e8a76b3939b3072dc76fb5c,diving,0.0,REPLACE,ice diving
5e8a76b3939b3072dc76fb5c,discus,34.5,EXCLUDE,EXCLUDE
5f6c102b6ec04317fc9a8127,football,0.0,FOUND,football
5f6c102b6ec04317fc9a8127,soccer,1.3,FOUND,soccer
5f6c102b6ec04317fc9a8127,tennis,0.0,FOUND,tennis
