SID,entry,timepoint,evaluation,replacement
65c25cf77dca9d7ca7d9ebdb,car,0.0,FOUND,car
65c25cf77dca9d7ca7d9ebdb,airplane,0.2,FOUND,airplane
65c25cf77dca9d7ca7d9ebdb,train,0.0,FOUND,train
65c25cf77dca9d7ca7d9ebdb,boat,0.5,FOUND,boat
65c25cf77dca9d7ca7d9ebdb,jet ski,3.8,FOUND,jet ski
65c25cf77dca9d7ca7d9ebdb,bicycle,3.2,FOUND,bicycle
65c25cf77dca9d7ca7d9ebdb,motorcycle,0.0,FOUND,motorcycle
65c25cf77dca9d7ca7d9ebdb,a train,14.2,FOUND,a train
65c25cf77dca9d7ca7d9ebdb,bus,0.0,FOUND,bus
65c25cf77dca9d7ca7d9ebdb,trolley,2.4,FOUND,trolley
65c25cf77dca9d7ca7d9ebdb,submarine,3.7,FOUND,submarine
65c25cf77dca9d7ca7d9ebdb,skateboard,7.2,FOUND,skateboard
65c25cf77dca9d7ca7d9ebdb,scooter,0.0,FOUND,scooter
65c25cf77dca9d7ca7d9ebdb,elevator,18.6,FOUND,elevator
65c25cf77dca9d7ca7d9ebdb,stairs,17.0,FOUND,stairs
65c25cf77dca9d7ca7d9ebdb,helicopter,18.4,FOUND,helicopter
65c25cf77dca9d7ca7d9ebdb,ambulance,1.90000000000001,FOUND,ambulance
65e358d9c5e3ee026268b2a7,walking,0.0,FOUND,walking
65e358d9c5e3ee026268b2a7,running,0.3,FOUND,running
65e358d9c5e3ee026268b2a7,skipping,1.3,FOUND,skipping
65e358d9c5e3ee026268b2a7,rollerblades,2.1,FOUND,rollerblades
65e358d9c5e3ee026268b2a7,Heelys,0.9,REPLACE,heelys
65e358d9c5e3ee026268b2a7,skateboard,0.0,FOUND,skateboard
65e358d9c5e3ee026268b2a7,RipStik,1.2,REPLACE,ripstik
65e358d9c5e3ee026268b2a7,scooter electric or manual,4.7,FOUND,scooter electric or manual
65e358d9c5e3ee026268b2a7,bike both electric or manual,0.0,FOUND,bike both electric or manual
65e358d9c5e3ee026268b2a7,tricycle,0.0,FOUND,tricycle
65e358d9c5e3ee026268b2a7,motorcycle,1.7,FOUND,motorcycle
65e358d9c5e3ee026268b2a7,a car,0.0,FOUND,a car
65e358d9c5e3ee026268b2a7,a truck,0.0,FOUND,a truck
65e358d9c5e3ee026268b2a7,a public transit bus,0.0,FOUND,a public transit bus
65e358d9c5e3ee026268b2a7,RTD,0.5,EXCLUDE,EXCLUDE
65e358d9c5e3ee026268b2a7,a plane,4.1,FOUND,a plane
65e358d9c5e3ee026268b2a7,helicopter,0.599999999999994,FOUND,helicopter
65e358d9c5e3ee026268b2a7,boat,1.9,FOUND,boat
65e358d9c5e3ee026268b2a7,ferry,0.900000000000006,FOUND,ferry
65e358d9c5e3ee026268b2a7,a cruise ship,0.0,FOUND,a cruise ship
65e358d9c5e3ee026268b2a7,yacht,1.09999999999999,FOUND,yacht
65e358d9c5e3ee026268b2a7,spaceship,5.1,FOUND,spaceship
65e358d9c5e3ee026268b2a7,a taxi,3.6,FOUND,a taxi
65e358d9c5e3ee026268b2a7,Rideshare system,1.5,REPLACE,rideshare system
65e358d9c5e3ee026268b2a7,Uber,0.0,REPLACE,uber
65e358d9c5e3ee026268b2a7,Lyft,1.59999999999999,REPLACE,lyft
65e358d9c5e3ee026268b2a7,a pogo stick,28.6,FOUND,a pogo stick
65e358d9c5e3ee026268b2a7,a unicycle,6.89999999999999,FOUND,a unicycle
63ea4ab1ce4168cbe9f63775,walking,0.0,FOUND,walking
63ea4ab1ce4168cbe9f63775,driving your own car,2.8,FOUND,driving your own car
63ea4ab1ce4168cbe9f63775,taxi services,1.7,FOUND,taxi services
63ea4ab1ce4168cbe9f63775,Private Car Services,0.0,REPLACE,private car services
