SID,entry,timepoint,evaluation,replacement
65c25cf77dca9d7ca7d9ebdb,New Year,0.0,REPLACE,new year
65c25cf77dca9d7ca7d9ebdb,New Year's Eve,0.0,REPLACE,new year's eve
65c25cf77dca9d7ca7d9ebdb,Christmas Eve,1.2,REPLACE,christmas eve
65c25cf77dca9d7ca7d9ebdb,Thanksgiving,1.5,REPLACE,thanksgiving
65c25cf77dca9d7ca7d9ebdb,spring break,3.4,FOUND,spring break
65c25cf77dca9d7ca7d9ebdb,Saint Patrick's Day,20.6,REPLACE,saint patrick's day
65c25cf77dca9d7ca7d9ebdb,Fourth of July,1.0,REPLACE,fourth of july
65c25cf77dca9d7ca7d9ebdb,Cinco de Mayo,2.0,REPLACE,cinco de mayo
60a48adfe091e410f4eaba34,Christmas,0.0,REPLACE,christmas
60a48adfe091e410f4eaba34,New Year's,0.0,REPLACE,new year's
60a48adfe091e410f4eaba34,Easter,2.7,REPLACE,easter
60a48adfe091e410f4eaba34,Fourth of July,1.6,REPLACE,fourth of july
60a48adfe091e410f4eaba34,Thanksgiving,22.8,REPLACE,thanksgiving
60a48adfe091e410f4eaba34,Halloween,0.0,REPLACE,halloween
60a48adfe091e410f4eaba34,Martin Luther King Day,8.0,REPLACE,martin luther king day
60a48adfe091e410f4eaba34,Christopher Columbus Day,2.0,REPLACE,christopher columbus day
60a48adfe091e410f4eaba34,Veterans Day,16.8,REPLACE,veterans day
60a48adfe091e410f4eaba34,Black Friday,33.4,REPLACE,black friday
60a48adfe091e410f4eaba34,Valentine's Day,6.0,REPLACE,valentine's day
63e802622f8052bd67d6c5f0,Easter,0.0,REPLACE,easter
63e802622f8052bd67d6c5f0,Halloween,4.0,REPLACE,halloween
63e802622f8052bd67d6c5f0,Hanukkah,19.5,REPLACE,hanukkah
63e802622f8052bd67d6c5f0,Thanksgiving,9.2,REPLACE,thanksgiving
63e802622f8052bd67d6c5f0,Presidents Day,4.4,REPLACE,presidents day
65e358d9c5e3ee026268b2a7,New Year's,0.0,REPLACE,new year's
65e358d9c5e3ee026268b2a7,Valentine's Day,0.0,REPLACE,valentine's day
65e358d9c5e3ee026268b2a7,St Patrick's day,3.5,REPLACE,st patrick's day
65e358d9c5e3ee026268b2a7,Easter,1.5,REPLACE,easter
65e358d9c5e3ee026268b2a7,Memorial Day ,1.3,REPLACE,memorial day 
65e358d9c5e3ee026268b2a7,Veterans Day,0.0,REPLACE,veterans day
65e358d9c5e3ee026268b2a7,Fourth of July,4.4,REPLACE,fourth of july
65e358d9c5e3ee026268b2a7,mlk.day,5.3,FOUND,mlk.day
65e358d9c5e3ee026268b2a7,Thanksgiving,3.2,REPLACE,thanksgiving
65e358d9c5e3ee026268b2a7,Halloween,0.0,REPLACE,halloween
65e358d9c5e3ee026268b2a7,Christmas,1.6,REPLACE,christmas
65e358d9c5e3ee026268b2a7,the Chinese New Year,6.6,REPLACE,the chinese new year
65e358d9c5e3ee026268b2a7,Labor Day,19.8,REPLACE,labor day
