SID,entry,timepoint
65e1f75ab3efd22e847cfbf0,mother's day,0.0
65e1f75ab3efd22e847cfbf0,father's day,0.0
65e1f75ab3efd22e847cfbf0,independence day,1.7
65e1f75ab3efd22e847cfbf0,labor day,0.0
65e1f75ab3efd22e847cfbf0,halloween,1.7
65e1f75ab3efd22e847cfbf0,christmas,0.0
65e1f75ab3efd22e847cfbf0,hanukkah,0.0
65e1f75ab3efd22e847cfbf0,kwanzaa,0.0
65e1f75ab3efd22e847cfbf0,ramadan,0.0
65e1f75ab3efd22e847cfbf0,chinese new year,19.2
65e1f75ab3efd22e847cfbf0,july 4th,49.8
65e1f75ab3efd22e847cfbf0,fourth of july,3.90000000000001
5d7ff4aa50fda7001a863736,christmas,0.0
5d7ff4aa50fda7001a863736,halloween,0.0
5d7ff4aa50fda7001a863736,thanksgiving,0.0
5d7ff4aa50fda7001a863736,st patricks.day,1.8
5d7ff4aa50fda7001a863736,valentine's day,0.0
5d7ff4aa50fda7001a863736,new year,1.5
5d7ff4aa50fda7001a863736,fourth of july,7.8
5d7ff4aa50fda7001a863736,dia de los muertos,3.4
5d7ff4aa50fda7001a863736,day of the dead,0.0
5d7ff4aa50fda7001a863736,cinco de mayo,4.3
5d7ff4aa50fda7001a863736,easter,4.2
5d7ff4aa50fda7001a863736,labor day,1.9
5d7ff4aa50fda7001a863736,mother's day,5.4
5d7ff4aa50fda7001a863736,father's day,0.0
5d7ff4aa50fda7001a863736,presidents day,9.9
5d7ff4aa50fda7001a863736,veterans day,2.3
5d7ff4aa50fda7001a863736,april fools,12.4
5d7ff4aa50fda7001a863736,memorial day,5.40000000000001
5d7ff4aa50fda7001a863736,juneteenth,3.10000000000001
5d7ff4aa50fda7001a863736,independence day,25.7
5f5aa60bef062519ff711fe6,ramadan,0.0
5f5aa60bef062519ff711fe6,christmas,1.2
5f5aa60bef062519ff711fe6,halloween,1.5
5f5aa60bef062519ff711fe6,easter,2.2
5f5aa60bef062519ff711fe6,hanukkah,1.7
5f5aa60bef062519ff711fe6,valentine's day,3.4
5f5aa60bef062519ff711fe6,martin luther king day,2.0
5f5aa60bef062519ff711fe6,christopher,3.2
5f5aa60bef062519ff711fe6,columbus day,0.0
5f5aa60bef062519ff711fe6,presidents day,2.0
5f5aa60bef062519ff711fe6,father's day,0.0
5f5aa60bef062519ff711fe6,mother's day,0.0
5f5aa60bef062519ff711fe6,thanksgiving,9.4
5f5aa60bef062519ff711fe6,april fools,5.90000000000001
5f5aa60bef062519ff711fe6,independence day,17.6
5f5aa60bef062519ff711fe6,fourth of july,2.39999999999999
63ea4ab1ce4168cbe9f63775,new year's eve,0.0
63ea4ab1ce4168cbe9f63775,new year's day,1.3
63ea4ab1ce4168cbe9f63775,martin luther king jr. day,1.7
63ea4ab1ce4168cbe9f63775,presidents day,1.4
63ea4ab1ce4168cbe9f63775,earth day,1.3
63ea4ab1ce4168cbe9f63775,good friday,2.5
63ea4ab1ce4168cbe9f63775,easter,1.5
63ea4ab1ce4168cbe9f63775,yom kippur,1.1
63ea4ab1ce4168cbe9f63775,passover,1.6
63ea4ab1ce4168cbe9f63775,memorial day,3.3
63ea4ab1ce4168cbe9f63775,independence day,1.8
63ea4ab1ce4168cbe9f63775,indigenous peoples day,5.3
63ea4ab1ce4168cbe9f63775,labor day,2.2
63ea4ab1ce4168cbe9f63775,halloween,1.8
63ea4ab1ce4168cbe9f63775,thanksgiving,1.5
63ea4ab1ce4168cbe9f63775,christmas,2.0
63ea4ab1ce4168cbe9f63775,kwanzaa,2.0
63ea4ab1ce4168cbe9f63775,hanukkah,2.0
63ea4ab1ce4168cbe9f63775,ramadan,2.7
63ea4ab1ce4168cbe9f63775,lunar new year,4.3
63ea4ab1ce4168cbe9f63775,chinese new year,1.7
63ea4ab1ce4168cbe9f63775,diwali,1.8
63ea4ab1ce4168cbe9f63775,fat tuesday,17.0
63ea4ab1ce4168cbe9f63775,mardi gras,1.5
63ea4ab1ce4168cbe9f63775,carnivale,2.40000000000001
60d731567049e5132e3cc4d4,valentine's day,0.0
60d731567049e5132e3cc4d4,st patrick's day,0.0
60d731567049e5132e3cc4d4,easter,1.6
60d731567049e5132e3cc4d4,memorial day,0.0
60d731567049e5132e3cc4d4,labor day,0.0
60d731567049e5132e3cc4d4,4th of july,0.0
60d731567049e5132e3cc4d4,halloween,3.2
60d731567049e5132e3cc4d4,thanksgiving,0.0
60d731567049e5132e3cc4d4,christmas,0.0
60d731567049e5132e3cc4d4,new year's,0.0
60d731567049e5132e3cc4d4,flag day,1.5
60d731567049e5132e3cc4d4,presidents day,0.0
60d731567049e5132e3cc4d4,earth day,0.0
60d731567049e5132e3cc4d4,juneteenth,2.1
60d731567049e5132e3cc4d4,president's day,0.0
60d731567049e5132e3cc4d4,indigenous peoples day,1.9
60d731567049e5132e3cc4d4,kwanzaa,5.9
60d731567049e5132e3cc4d4,ramadan,0.0
60d731567049e5132e3cc4d4,hanukkah,0.0
60d731567049e5132e3cc4d4,rosh hashanah,1.1
60d731567049e5132e3cc4d4,yom kippur,4.3
60d731567049e5132e3cc4d4,arbor day,28.2
60d731567049e5132e3cc4d4,boxing day,3.0
60d731567049e5132e3cc4d4,chinese new year,2.7
60d731567049e5132e3cc4d4,holi,15.9
65d6a09286a0c99e632a46dd,new year's day,0.0
65d6a09286a0c99e632a46dd,mlk.day,1.9
65d6a09286a0c99e632a46dd,valentine's day,2.8
65d6a09286a0c99e632a46dd,passover,5.6
65d6a09286a0c99e632a46dd,easter,1.6
65d6a09286a0c99e632a46dd,memorial day,9.5
65d6a09286a0c99e632a46dd,flag day,5.5
65d6a09286a0c99e632a46dd,4th of july,0.0
65d6a09286a0c99e632a46dd,groundhog's day,2.8
65d6a09286a0c99e632a46dd,presidents day,13.5
65d6a09286a0c99e632a46dd,columbus day,1.3
65d6a09286a0c99e632a46dd,thanksgiving,5.50000000000001
65d6a09286a0c99e632a46dd,christmas,0.0
65d6a09286a0c99e632a46dd,rosh hashanah,2.40000000000001
65d6a09286a0c99e632a46dd,president's day,12.7
65d6a09286a0c99e632a46dd,election day,2.40000000000001
65d6a09286a0c99e632a46dd,superbowl,8.89999999999999
65d6a09286a0c99e632a46dd,christmas,19.8
