SID,entry,evaluation,replacement
65e862f844f1b7a803bb3c5a,driving,REPLACE,editing
65e862f844f1b7a803bb3c5a,sightseeing,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,soccer,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,basketball,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,darts,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,ice hockey,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,gymnastics,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,fencing,FOUND,fencing
65e862f844f1b7a803bb3c5a,horse racing,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,skiing,REPLACE,sailing
5f5aa60bef062519ff711fe6,knitting,FOUND,knitting
5f5aa60bef062519ff711fe6,crocheting,FOUND,crocheting
5f5aa60bef062519ff711fe6,gaming,REPLACE,camping
5f5aa60bef062519ff711fe6,racing,REPLACE,drawing
5f5aa60bef062519ff711fe6,running,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,swimming,REPLACE,sewing
5f5aa60bef062519ff711fe6,bird watching,REPLACE,birdwatching
5f5aa60bef062519ff711fe6,hiking,FOUND,hiking
5f5aa60bef062519ff711fe6,climbing,FOUND,climbing
5f5aa60bef062519ff711fe6,skydiving,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,flying a plane,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,collecting,REPLACE,cd collecting
5f5aa60bef062519ff711fe6,drawing,FOUND,drawing
5f5aa60bef062519ff711fe6,creating,REPLACE,crocheting
5f5aa60bef062519ff711fe6,playing sports,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,baseball,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,hockey,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,basketball,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,football,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,soccer,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,3D printing,REPLACE,painting
5f5aa60bef062519ff711fe6,studying,REPLACE,shooting
65b15afd94153c1f50c92493,painting,FOUND,painting
65b15afd94153c1f50c92493,drawing,FOUND,drawing
65b15afd94153c1f50c92493,skating,REPLACE,sketching
65b15afd94153c1f50c92493,Reading,REPLACE,beading
65b15afd94153c1f50c92493,Writing,REPLACE,editing
65b15afd94153c1f50c92493,crochet,REPLACE,crocheting
65b15afd94153c1f50c92493,sewing,FOUND,sewing
65b15afd94153c1f50c92493,coloring,REPLACE,cooking
65b15afd94153c1f50c92493,fishing,FOUND,fishing
65b15afd94153c1f50c92493,camping,FOUND,camping
65b15afd94153c1f50c92493,driving,REPLACE,editing
65b15afd94153c1f50c92493,collecting,REPLACE,cd collecting
65b15afd94153c1f50c92493,hit music,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Reading,REPLACE,beading
65e1f75ab3efd22e847cfbf0,Writing,REPLACE,editing
65e1f75ab3efd22e847cfbf0,video games,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,working out,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,painting,FOUND,painting
65e1f75ab3efd22e847cfbf0,dance,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,drawing,FOUND,drawing
65e1f75ab3efd22e847cfbf0,Pottery,REPLACE,pottery
65e1f75ab3efd22e847cfbf0,knitting,FOUND,knitting
65e1f75ab3efd22e847cfbf0,photography,FOUND,photography
65e1f75ab3efd22e847cfbf0,sewing,FOUND,sewing
65e1f75ab3efd22e847cfbf0,Gardening,REPLACE,gardening
65e1f75ab3efd22e847cfbf0,learning,REPLACE,gardening
65e1f75ab3efd22e847cfbf0,cooking,FOUND,cooking
65e1f75ab3efd22e847cfbf0,singing,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,video games,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,backpacking,FOUND,backpacking
65e1f75ab3efd22e847cfbf0,running,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,hunting,FOUND,hunting
